ordinal_date,exp_concentrations
1,8.16E-05
2,8.15E-05
3,8.19E-05
4,0.00056106
5,0.00034992
6,8.57E-05
7,8.48E-05
8,8.41E-05
9,8.36E-05
10,8.32E-05
11,8.29E-05
12,8.26E-05
13,8.24E-05
14,8.21E-05
15,8.19E-05
16,8.17E-05
17,8.15E-05
18,8.13E-05
19,8.11E-05
20,8.09E-05
21,8.07E-05
22,8.05E-05
23,8.03E-05
24,0.00021051
25,0.0013273
26,0.0010117
27,3.23E-06
28,2.19E-05
29,0.00072024
30,0.00052375
31,6.62E-06
32,2.14E-05
33,5.40E-05
34,4.36E-05
35,4.58E-05
36,4.72E-05
37,4.81E-05
38,0.00017642
39,3.44E-05
40,3.93E-05
41,6.67E-05
42,4.65E-05
43,4.73E-05
44,4.77E-05
45,4.79E-05
46,4.80E-05
47,0.00014866
48,2.94E-05
49,3.54E-05
50,3.93E-05
51,4.18E-05
52,4.34E-05
53,4.45E-05
54,0.00015603
55,1.90E-05
56,2.77E-05
57,3.34E-05
58,3.71E-05
59,3.95E-05
60,4.10E-05
61,0.00018275
62,9.17E-06
63,2.01E-05
64,2.72E-05
65,3.19E-05
66,3.50E-05
67,3.70E-05
68,3.85E-05
69,3.90E-05
70,3.95E-05
71,5.09E-05
72,3.58E-05
73,3.72E-05
74,3.81E-05
75,3.87E-05
76,3.90E-05
77,4.37E-05
78,3.69E-05
79,0.00024677
80,1.61E-06
81,1.20E-05
82,1.89E-05
83,2.34E-05
84,2.63E-05
85,2.82E-05
86,2.94E-05
87,3.01E-05
88,3.06E-05
89,3.10E-05
90,3.09E-05
91,3.09E-05
92,3.09E-05
93,0.00045389
94,3.43E-07
95,5.07E-06
96,8.18E-06
97,1.02E-05
98,1.15E-05
99,1.23E-05
100,1.29E-05
101,1.32E-05
102,1.34E-05
103,1.35E-05
104,1.36E-05
105,3.66E-05
106,5.30E-06
107,7.96E-06
108,9.69E-06
109,1.08E-05
110,1.15E-05
111,1.20E-05
112,1.23E-05
113,1.24E-05
114,1.25E-05
115,1.25E-05
116,1.49E-05
117,1.12E-05
118,1.16E-05
119,1.18E-05
120,1.19E-05
121,1.20E-05
122,1.20E-05
123,1.20E-05
124,1.29E-05
125,1.15E-05
126,1.11E-05
127,1.16E-05
128,2.1037
129,1.4035
130,4.4933
131,0.0019389
132,0.020782
133,0.40192
134,0.047501
135,0.050161
136,0.34059
137,0.063571
138,0.051335
139,0.055044
140,0.057296
141,0.085895
142,0.058388
143,2.1628
144,3.5623
145,2.3984
146,1.6389
147,1.1437
148,0.8208
149,4.3145
150,2.8126
151,0.018787
152,0.077252
153,0.11489
154,0.13891
155,0.15405
156,0.16338
157,0.16896
158,0.17209
159,0.17359
160,2.8172
161,0.0026808
162,0.026167
163,0.041228
164,0.050811
165,0.056836
166,0.060555
167,0.06276
168,0.063969
169,0.064527
170,0.064661
171,0.064509
172,0.064156
173,0.063684
174,0.063117
175,0.062498
176,0.061852
177,0.061197
178,0.060532
179,0.059861
180,0.29143
181,0.020611
182,0.032102
183,0.039273
184,0.043681
185,0.046303
186,0.047746
187,0.048426
188,0.048647
189,0.048591
190,0.048344
191,0.047957
192,0.04749
193,0.59951
194,0.0012705
195,0.011231
196,0.017478
197,0.021346
198,0.023689
199,0.025059
200,0.0258
201,0.026137
202,0.026216
203,0.026135
204,0.025962
205,0.025726
206,0.025458
207,0.025161
208,0.024851
209,0.024539
210,0.024224
211,0.023901
212,0.02358
213,0.023262
214,0.022946
215,0.022635
216,0.022334
217,0.022038
218,0.37062
219,0.20235
220,0.00069711
221,0.005211
222,0.23884
223,0.49774
224,8.31E-05
225,0.011864
226,0.0055972
227,0.0053299
228,0.0051373
229,0.0049915
230,0.0048759
231,0.0047794
232,0.004699
233,0.0046287
234,0.0045649
235,0.004505
236,0.08934
237,0.00032262
238,0.00168
239,0.0025276
240,0.00305
241,0.0033649
242,0.0035476
243,0.0036468
244,0.0036931
245,0.003706
246,0.0036983
247,0.0036787
248,0.0036518
249,0.0036193
250,0.0035832
251,0.0035452
252,0.0035086
253,0.0034728
254,0.0034364
255,0.0033999
256,0.0033633
257,0.0033264
258,0.0056086
259,0.0036485
260,0.0034855
261,0.0033722
262,0.0032891
263,0.0032254
264,0.0031736
265,0.0035301
266,0.0031807
267,0.0031183
268,0.0030696
269,0.0030301
270,0.0029962
271,0.0029663
272,0.0029387
273,0.0029383
274,0.0028909
275,0.0028647
276,0.0028408
277,0.0028179
278,0.0027951
279,0.0027728
280,0.0027505
281,0.0027284
282,0.03219
283,0.00014339
284,0.00091532
285,0.0014087
286,0.13685
287,8.18E-06
288,0.00026631
289,0.00043147
290,0.00053645
291,0.0068228
292,0.00064833
293,0.00067725
294,0.00069409
295,0.00070309
296,0.052323
297,0.051327
298,5.20E-06
299,9.76E-05
300,0.00015677
301,0.00019457
302,0.00021854
303,0.0002336
304,0.00024289
305,0.00024835
306,0.00025136
307,0.00025271
308,0.00025297
309,0.00025254
310,0.0007282
311,0.00043835
312,0.00037636
313,0.00033558
314,0.057052
315,8.26E-07
316,2.71E-05
317,4.42E-05
318,5.52E-05
319,6.24E-05
320,6.70E-05
321,6.99E-05
322,7.16E-05
323,7.27E-05
324,7.33E-05
325,7.36E-05
326,7.37E-05
327,7.37E-05
328,7.36E-05
329,7.34E-05
330,7.32E-05
331,7.29E-05
332,7.27E-05
333,7.24E-05
334,7.21E-05
335,7.18E-05
336,7.15E-05
337,7.12E-05
338,0.015112
339,1.04E-06
340,1.75E-05
341,2.83E-05
342,3.54E-05
343,3.99E-05
344,4.29E-05
345,4.48E-05
346,4.60E-05
347,4.67E-05
348,4.71E-05
349,4.73E-05
350,0.00040158
351,0.00015695
352,0.00022178
353,0.00013917
354,0.00011121
355,9.27E-05
356,8.05E-05
357,8.79E-05
358,0.0019274
359,2.35E-05
360,3.50E-05
361,4.26E-05
362,4.75E-05
363,5.07E-05
364,0.001664
365,1.83E-05
